Acoustics,0,12:04,12:18
S²,0,12:19,12:22
Impression,0,12:24,12:35
LATE!,0,12:37,12:45
COTAROT,0,12:46,13:00
vola,0,13:02,13:05
バカボンド,0,13:07,13:10
BREAKER 今井,0,13:11,13:15
TKI48,0,13:17,13:40
Tourmaline,0,13:41,13:52
バカボンド,0,13:53,13:56
Acoustics,0,13:58,14:11
vola,0,14:13,14:16
COTAROT,0,14:18,14:32
Genesis,0,14:33,14:51
S²,0,14:53,14:56
Tourmaline,0,14:57,15:08
バカボンド,0,15:09,15:13
LATE!,0,15:14,15:22
Impression,0,15:24,15:35
Tee’s,0,15:37,15:54
オーケストラ部,1,09:00,09:17
Tee’s,1,09:21,09:38
Impression,1,09:39,09:51
Tourmaline,1,09:52,10:03
COTAROT,1,10:05,10:19
vola,1,10:20,10:24
Acoustics,1,10:25,10:39
BREAKER 今井,1,10:40,10:44
バカボンド,1,10:46,10:49
LATE!,1,10:50,10:58
S²,1,11:00,11:03
COTAROT,1,11:04,11:18
Genesis,1,11:20,11:38
Impression,1,11:39,11:51
BREAKER 今井,1,11:52,11:56
Tee’s,1,11:58,12:15
Tourmaline,1,12:16,12:27
TKI48,1,12:29,12:52
vola,1,12:53,12:56
バカボンド,1,12:58,13:01
S²,1,13:03,13:06
Genesis,1,13:07,13:25
LATE!,1,13:26,13:34
COTAROT,1,13:36,13:50
バカボンド,1,13:51,13:54
Acoustics,1,13:56,14:09
TKI48,1,14:11,14:34
